Namn;pgkod;persnr;Namn;meritp;Namn ;Kurskod;HP;Obligatorisk;betyg
Datavetenskap;LIU50153;4611096579;Georgy Gentes;20.00;Bioteknisk biokemi;TFKE32;4;0;G
Datavetenskap;LIU50153;4611096579;Georgy Gentes;20.00;Processprogrammering och operativsystem;TDDB68;4;1;G
Datavetenskap;LIU50153;4611096579;Georgy Gentes;20.00;Artificiell intelligens;TDDC17;4;1;G
Datavetenskap;LIU50153;4611096579;Georgy Gentes;20.00;Neurala nät i kognitiv neurovetenskap;TDDC11;5;1;G
Datavetenskap;LIU50153;4611096579;Georgy Gentes;20.00;Abstrakt algebra;TATA10;5;1;G
Datavetenskap;LIU50153;2040041834;Louie Budd;17.82;Programutvecklingsmetodik teori 2;TDDC93;5;1;VG
Datavetenskap;LIU50153;2040041834;Louie Budd;17.82;Kemi;TFKE16;4;0;VG
Datavetenskap;LIU50153;2040041834;Louie Budd;17.82;Lingvistik, grundkurs;TDDC89;4;1;VG
Datavetenskap;LIU50153;2040041834;Louie Budd;17.82;Informationssökning;TGTU60;1;0;G
Datavetenskap;LIU50153;2040041834;Louie Budd;17.82;Mobila trådlösa nätverk: system och tillämpningar;TDDC22;7;1;G
Datavetenskap;LIU50153;2040041834;Louie Budd;17.82;Matematisk statistik;TAMS27;4;1;G
Datavetenskap;LIU50153;2040041834;Louie Budd;17.82;Kompilatorkonstruktion;TDDB44;4;1;G
Datavetenskap;LIU50153;2040041834;Louie Budd;17.82;Numeriska algoritmer;TANA03;4;1;U
Datavetenskap;LIU50153;2040041834;Louie Budd;17.82;Språklig kommunikation;TGTU02;4;0;G
Datavetenskap;LIU50153;2040041834;Louie Budd;17.82;Flervariabelanalys 5;TATA43;5;1;G
Datavetenskap;LIU50153;2040041834;Louie Budd;17.82;Bioteknisk biokemi;TFKE32;4;0;G
Datavetenskap;LIU50153;2040041834;Louie Budd;17.82;Processprogrammering och operativsystem;TDDB68;4;1;VG
Datavetenskap;LIU50153;2040041834;Louie Budd;17.82;Omskrivningssystem;TDDB40;3;1;VG
Datavetenskap;LIU50153;2040041834;Louie Budd;17.82;Neurala nät i kognitiv neurovetenskap;TDDC11;5;1;G
Datavetenskap;LIU50153;2040041834;Louie Budd;17.82;Abstrakt algebra;TATA10;5;1;VG
Datavetenskap;LIU50153;1279491280;Johny Sherrard;14.64;Kemi;TFKE16;4;0;G
Datavetenskap;LIU50153;1279491280;Johny Sherrard;14.64;Industriell ekonomi, grundkurs;TEIE59;3;0;G
Datavetenskap;LIU50153;1279491280;Johny Sherrard;14.64;Lingvistik, grundkurs;TDDC89;4;1;G
Datavetenskap;LIU50153;1279491280;Johny Sherrard;14.64;Konstruktion och analys av algoritmer 3;TDDA32;5;1;U
Datavetenskap;LIU50153;1279491280;Johny Sherrard;14.64;Avancerad programmering i C++;TDDB89;3;1;G
Datavetenskap;LIU50153;1279491280;Johny Sherrard;14.64;Informationssökning;TGTU60;1;0;VG
Datavetenskap;LIU50153;1279491280;Johny Sherrard;14.64;Mobila trådlösa nätverk: system och tillämpningar;TDDC22;7;1;G
Datavetenskap;LIU50153;1279491280;Johny Sherrard;14.64;Matematisk statistik;TAMS27;4;1;G
Datavetenskap;LIU50153;1279491280;Johny Sherrard;14.64;Sverige och Europa: Från vikingatid till EU;TGTU12;5;0;G
Datavetenskap;LIU50153;1279491280;Johny Sherrard;14.64;Kompilatorkonstruktion;TDDB44;4;1;G
Datavetenskap;LIU50153;1279491280;Johny Sherrard;14.64;Språklig kommunikation;TGTU02;4;0;G
Datavetenskap;LIU50153;1279491280;Johny Sherrard;14.64;Numeriska algoritmer;TANA03;4;1;G
Datavetenskap;LIU50153;1279491280;Johny Sherrard;14.64;Flervariabelanalys 5;TATA43;5;1;G
Datavetenskap;LIU50153;1279491280;Johny Sherrard;14.64;Bioteknisk biokemi;TFKE32;4;0;VG
Datavetenskap;LIU50153;1279491280;Johny Sherrard;14.64;Omskrivningssystem;TDDB40;3;1;G
Datavetenskap;LIU50153;1279491280;Johny Sherrard;14.64;Artificiell intelligens;TDDC17;4;1;VG
Datavetenskap;LIU50153;1279491280;Johny Sherrard;14.64;Neurala nät i kognitiv neurovetenskap;TDDC11;5;1;G
Datavetenskap;LIU50153;1279491280;Johny Sherrard;14.64;Abstrakt algebra;TATA10;5;1;G
Datavetenskap;LIU50153;7478174104;Vassily Dubroff;11.82;Programutvecklingsmetodik teori 2;TDDC93;5;1;G
Datavetenskap;LIU50153;7478174104;Vassily Dubroff;11.82;Industriell ekonomi, grundkurs;TEIE59;3;0;U
Datavetenskap;LIU50153;7478174104;Vassily Dubroff;11.82;Konstruktion och analys av algoritmer 3;TDDA32;5;1;U
Datavetenskap;LIU50153;7478174104;Vassily Dubroff;11.82;Mobila trådlösa nätverk: system och tillämpningar;TDDC22;7;1;U
Datavetenskap;LIU50153;7478174104;Vassily Dubroff;11.82;Informationssökning;TGTU60;1;0;U
Datavetenskap;LIU50153;7478174104;Vassily Dubroff;11.82;Sverige och Europa: Från vikingatid till EU;TGTU12;5;0;VG
Datavetenskap;LIU50153;7478174104;Vassily Dubroff;11.82;Kompilatorkonstruktion;TDDB44;4;1;U
Datavetenskap;LIU50153;7478174104;Vassily Dubroff;11.82;Numeriska algoritmer;TANA03;4;1;U
Datavetenskap;LIU50153;7478174104;Vassily Dubroff;11.82;Språklig kommunikation;TGTU02;4;0;U
Datavetenskap;LIU50153;7478174104;Vassily Dubroff;11.82;Flervariabelanalys 5;TATA43;5;1;U
Datavetenskap;LIU50153;7478174104;Vassily Dubroff;11.82;Processprogrammering och operativsystem;TDDB68;4;1;U
Datavetenskap;LIU50153;7478174104;Vassily Dubroff;11.82;Artificiell intelligens;TDDC17;4;1;U
Datavetenskap;LIU50153;7478174104;Vassily Dubroff;11.82;Neurala nät i kognitiv neurovetenskap;TDDC11;5;1;U
Datavetenskap;LIU50153;7478174104;Vassily Dubroff;11.82;Abstrakt algebra;TATA10;5;1;G
Datavetenskap;LIU50153;6134486652;Wyn Sebastian;20.00;Språklig kommunikation;TGTU02;4;0;G
Datavetenskap;LIU50153;6134486652;Wyn Sebastian;20.00;Bioteknisk biokemi;TFKE32;4;0;G
Datavetenskap;LIU50153;6134486652;Wyn Sebastian;20.00;Processprogrammering och operativsystem;TDDB68;4;1;G
Datavetenskap;LIU50153;6134486652;Wyn Sebastian;20.00;Kemi;TFKE16;4;0;VG
Datavetenskap;LIU50153;6134486652;Wyn Sebastian;20.00;Omskrivningssystem;TDDB40;3;1;G
Datavetenskap;LIU50153;6134486652;Wyn Sebastian;20.00;Konstruktion och analys av algoritmer 3;TDDA32;5;1;VG
Datavetenskap;LIU50153;6134486652;Wyn Sebastian;20.00;Avancerad programmering i C++;TDDB89;3;1;G
Datavetenskap;LIU50153;6134486652;Wyn Sebastian;20.00;Informationssökning;TGTU60;1;0;G
Datavetenskap;LIU50153;6134486652;Wyn Sebastian;20.00;Neurala nät i kognitiv neurovetenskap;TDDC11;5;1;G
Datavetenskap;LIU50153;6134486652;Wyn Sebastian;20.00;Sverige och Europa: Från vikingatid till EU;TGTU12;5;0;G
Datavetenskap;LIU50153;6134486652;Wyn Sebastian;20.00;Abstrakt algebra;TATA10;5;1;VG
Datavetenskap;LIU50153;6332912419;Giles Piecaitis;17.73;Kompilatorkonstruktion;TDDB44;4;1;G
Datavetenskap;LIU50153;6332912419;Giles Piecaitis;17.73;Numeriska algoritmer;TANA03;4;1;G
Datavetenskap;LIU50153;6332912419;Giles Piecaitis;17.73;Flervariabelanalys 5;TATA43;5;1;G
Datavetenskap;LIU50153;6332912419;Giles Piecaitis;17.73;Processprogrammering och operativsystem;TDDB68;4;1;G
Datavetenskap;LIU50153;6332912419;Giles Piecaitis;17.73;Bioteknisk biokemi;TFKE32;4;0;VG
Datavetenskap;LIU50153;6332912419;Giles Piecaitis;17.73;Konstruktion och analys av algoritmer 3;TDDA32;5;1;G
Datavetenskap;LIU50153;6332912419;Giles Piecaitis;17.73;Mobila trådlösa nätverk: system och tillämpningar;TDDC22;7;1;G
Datavetenskap;LIU50153;6332912419;Giles Piecaitis;17.73;Informationssökning;TGTU60;1;0;G
Datavetenskap;LIU50153;6332912419;Giles Piecaitis;17.73;Sverige och Europa: Från vikingatid till EU;TGTU12;5;0;G
Datavetenskap;LIU50153;6332912419;Giles Piecaitis;17.73;Matematisk statistik;TAMS27;4;1;G
Datavetenskap;LIU50153;6332912419;Giles Piecaitis;17.73;Abstrakt algebra;TATA10;5;1;G
Datavetenskap;LIU50153;1033232222;Staford Peerman;13.77;Kemi;TFKE16;4;0;G
Datavetenskap;LIU50153;1033232222;Staford Peerman;13.77;Industriell ekonomi, grundkurs;TEIE59;3;0;G
Datavetenskap;LIU50153;1033232222;Staford Peerman;13.77;Konstruktion och analys av algoritmer 3;TDDA32;5;1;U
Datavetenskap;LIU50153;1033232222;Staford Peerman;13.77;Avancerad programmering i C++;TDDB89;3;1;VG
Datavetenskap;LIU50153;1033232222;Staford Peerman;13.77;Informationssökning;TGTU60;1;0;VG
Datavetenskap;LIU50153;1033232222;Staford Peerman;13.77;Matematisk statistik;TAMS27;4;1;G
Datavetenskap;LIU50153;1033232222;Staford Peerman;13.77;Kompilatorkonstruktion;TDDB44;4;1;U
Datavetenskap;LIU50153;1033232222;Staford Peerman;13.77;Språklig kommunikation;TGTU02;4;0;G
Datavetenskap;LIU50153;1033232222;Staford Peerman;13.77;Numeriska algoritmer;TANA03;4;1;U
Datavetenskap;LIU50153;1033232222;Staford Peerman;13.77;Flervariabelanalys 5;TATA43;5;1;U
Datavetenskap;LIU50153;1033232222;Staford Peerman;13.77;Processprogrammering och operativsystem;TDDB68;4;1;G
Datavetenskap;LIU50153;1033232222;Staford Peerman;13.77;Bioteknisk biokemi;TFKE32;4;0;G
Datavetenskap;LIU50153;1033232222;Staford Peerman;13.77;Abstrakt algebra;TATA10;5;1;G
Datavetenskap;LIU50153;8177643131;Yance Dhaliwal;16.11;Programutvecklingsmetodik teori 2;TDDC93;5;1;G
Datavetenskap;LIU50153;8177643131;Yance Dhaliwal;16.11;Industriell ekonomi, grundkurs;TEIE59;3;0;G
Datavetenskap;LIU50153;8177643131;Yance Dhaliwal;16.11;Lingvistik, grundkurs;TDDC89;4;1;G
Datavetenskap;LIU50153;8177643131;Yance Dhaliwal;16.11;Avancerad programmering i C++;TDDB89;3;1;G
Datavetenskap;LIU50153;8177643131;Yance Dhaliwal;16.11;Konstruktion och analys av algoritmer 3;TDDA32;5;1;G
Datavetenskap;LIU50153;8177643131;Yance Dhaliwal;16.11;Matematisk statistik;TAMS27;4;1;U
Datavetenskap;LIU50153;8177643131;Yance Dhaliwal;16.11;Sverige och Europa: Från vikingatid till EU;TGTU12;5;0;G
Datavetenskap;LIU50153;8177643131;Yance Dhaliwal;16.11;Språklig kommunikation;TGTU02;4;0;G
Datavetenskap;LIU50153;8177643131;Yance Dhaliwal;16.11;Numeriska algoritmer;TANA03;4;1;G
Datavetenskap;LIU50153;8177643131;Yance Dhaliwal;16.11;Flervariabelanalys 5;TATA43;5;1;VG
Datavetenskap;LIU50153;8177643131;Yance Dhaliwal;16.11;Bioteknisk biokemi;TFKE32;4;0;G
Datavetenskap;LIU50153;8177643131;Yance Dhaliwal;16.11;Neurala nät i kognitiv neurovetenskap;TDDC11;5;1;G
Datavetenskap;LIU50153;8177643131;Yance Dhaliwal;16.11;Artificiell intelligens;TDDC17;4;1;G
Datavetenskap;LIU50153;8715039017;Cleon Sroczynski;12.59;Programutvecklingsmetodik teori 2;TDDC93;5;1;G
Datavetenskap;LIU50153;8715039017;Cleon Sroczynski;12.59;Kemi;TFKE16;4;0;G
Datavetenskap;LIU50153;8715039017;Cleon Sroczynski;12.59;Industriell ekonomi, grundkurs;TEIE59;3;0;G
Datavetenskap;LIU50153;8715039017;Cleon Sroczynski;12.59;Lingvistik, grundkurs;TDDC89;4;1;U
Datavetenskap;LIU50153;8715039017;Cleon Sroczynski;12.59;Konstruktion och analys av algoritmer 3;TDDA32;5;1;U
Datavetenskap;LIU50153;8715039017;Cleon Sroczynski;12.59;Avancerad programmering i C++;TDDB89;3;1;VG
Datavetenskap;LIU50153;8715039017;Cleon Sroczynski;12.59;Informationssökning;TGTU60;1;0;G
Datavetenskap;LIU50153;8715039017;Cleon Sroczynski;12.59;Matematisk statistik;TAMS27;4;1;G
Datavetenskap;LIU50153;8715039017;Cleon Sroczynski;12.59;Sverige och Europa: Från vikingatid till EU;TGTU12;5;0;U
Datavetenskap;LIU50153;8715039017;Cleon Sroczynski;12.59;Numeriska algoritmer;TANA03;4;1;U
Datavetenskap;LIU50153;8715039017;Cleon Sroczynski;12.59;Språklig kommunikation;TGTU02;4;0;U
Datavetenskap;LIU50153;8715039017;Cleon Sroczynski;12.59;Flervariabelanalys 5;TATA43;5;1;G
Datavetenskap;LIU50153;8715039017;Cleon Sroczynski;12.59;Processprogrammering och operativsystem;TDDB68;4;1;U
Datavetenskap;LIU50153;8715039017;Cleon Sroczynski;12.59;Bioteknisk biokemi;TFKE32;4;0;U
Datavetenskap;LIU50153;8715039017;Cleon Sroczynski;12.59;Omskrivningssystem;TDDB40;3;1;G
Datavetenskap;LIU50153;8715039017;Cleon Sroczynski;12.59;Artificiell intelligens;TDDC17;4;1;VG
Datavetenskap;LIU50153;3378047605;Adriano Van Der;13.83;Programutvecklingsmetodik teori 2;TDDC93;5;1;U
Datavetenskap;LIU50153;3378047605;Adriano Van Der;13.83;Kemi;TFKE16;4;0;G
Datavetenskap;LIU50153;3378047605;Adriano Van Der;13.83;Lingvistik, grundkurs;TDDC89;4;1;U
Datavetenskap;LIU50153;3378047605;Adriano Van Der;13.83;Konstruktion och analys av algoritmer 3;TDDA32;5;1;G
Datavetenskap;LIU50153;3378047605;Adriano Van Der;13.83;Informationssökning;TGTU60;1;0;VG
Datavetenskap;LIU50153;3378047605;Adriano Van Der;13.83;Matematisk statistik;TAMS27;4;1;U
Datavetenskap;LIU50153;3378047605;Adriano Van Der;13.83;Sverige och Europa: Från vikingatid till EU;TGTU12;5;0;U
Datavetenskap;LIU50153;3378047605;Adriano Van Der;13.83;Numeriska algoritmer;TANA03;4;1;U
Datavetenskap;LIU50153;3378047605;Adriano Van Der;13.83;Språklig kommunikation;TGTU02;4;0;VG
Datavetenskap;LIU50153;3378047605;Adriano Van Der;13.83;Flervariabelanalys 5;TATA43;5;1;VG
Datavetenskap;LIU50153;3378047605;Adriano Van Der;13.83;Bioteknisk biokemi;TFKE32;4;0;G
Datavetenskap;LIU50153;3378047605;Adriano Van Der;13.83;Processprogrammering och operativsystem;TDDB68;4;1;G
Datavetenskap;LIU50153;3378047605;Adriano Van Der;13.83;Neurala nät i kognitiv neurovetenskap;TDDC11;5;1;G
Datavetenskap;LIU50153;3378047605;Adriano Van Der;13.83;Artificiell intelligens;TDDC17;4;1;U
Datavetenskap;LIU50153;3378047605;Adriano Van Der;13.83;Abstrakt algebra;TATA10;5;1;G
Datavetenskap;LIU50153;8876475459;Jameson Garamvolgyi;19.11;Programutvecklingsmetodik teori 2;TDDC93;5;1;VG
Datavetenskap;LIU50153;8876475459;Jameson Garamvolgyi;19.11;Kemi;TFKE16;4;0;G
Datavetenskap;LIU50153;8876475459;Jameson Garamvolgyi;19.11;Industriell ekonomi, grundkurs;TEIE59;3;0;G
Datavetenskap;LIU50153;8876475459;Jameson Garamvolgyi;19.11;Konstruktion och analys av algoritmer 3;TDDA32;5;1;G
Datavetenskap;LIU50153;8876475459;Jameson Garamvolgyi;19.11;Avancerad programmering i C++;TDDB89;3;1;G
Datavetenskap;LIU50153;8876475459;Jameson Garamvolgyi;19.11;Mobila trådlösa nätverk: system och tillämpningar;TDDC22;7;1;G
Datavetenskap;LIU50153;8876475459;Jameson Garamvolgyi;19.11;Sverige och Europa: Från vikingatid till EU;TGTU12;5;0;G
Datavetenskap;LIU50153;8876475459;Jameson Garamvolgyi;19.11;Kompilatorkonstruktion;TDDB44;4;1;G
Datavetenskap;LIU50153;8876475459;Jameson Garamvolgyi;19.11;Numeriska algoritmer;TANA03;4;1;VG
Datavetenskap;LIU50153;8876475459;Jameson Garamvolgyi;19.11;Bioteknisk biokemi;TFKE32;4;0;G
Datavetenskap;LIU50153;8876475459;Jameson Garamvolgyi;19.11;Processprogrammering och operativsystem;TDDB68;4;1;G
Datavetenskap;LIU50153;8876475459;Jameson Garamvolgyi;19.11;Omskrivningssystem;TDDB40;3;1;VG
Datavetenskap;LIU50153;8876475459;Jameson Garamvolgyi;19.11;Artificiell intelligens;TDDC17;4;1;G
Datavetenskap;LIU50153;8876475459;Jameson Garamvolgyi;19.11;Abstrakt algebra;TATA10;5;1;G
Datavetenskap;LIU50153;4904330584;Porter Saungikar;13.94;Programutvecklingsmetodik teori 2;TDDC93;5;1;G
Datavetenskap;LIU50153;4904330584;Porter Saungikar;13.94;Kemi;TFKE16;4;0;G
Datavetenskap;LIU50153;4904330584;Porter Saungikar;13.94;Industriell ekonomi, grundkurs;TEIE59;3;0;U
Datavetenskap;LIU50153;4904330584;Porter Saungikar;13.94;Lingvistik, grundkurs;TDDC89;4;1;G
Datavetenskap;LIU50153;4904330584;Porter Saungikar;13.94;Konstruktion och analys av algoritmer 3;TDDA32;5;1;U
Datavetenskap;LIU50153;4904330584;Porter Saungikar;13.94;Avancerad programmering i C++;TDDB89;3;1;VG
Datavetenskap;LIU50153;4904330584;Porter Saungikar;13.94;Mobila trådlösa nätverk: system och tillämpningar;TDDC22;7;1;VG
Datavetenskap;LIU50153;4904330584;Porter Saungikar;13.94;Matematisk statistik;TAMS27;4;1;G
Datavetenskap;LIU50153;4904330584;Porter Saungikar;13.94;Kompilatorkonstruktion;TDDB44;4;1;G
Datavetenskap;LIU50153;4904330584;Porter Saungikar;13.94;Språklig kommunikation;TGTU02;4;0;G
Datavetenskap;LIU50153;4904330584;Porter Saungikar;13.94;Bioteknisk biokemi;TFKE32;4;0;U
Datavetenskap;LIU50153;4904330584;Porter Saungikar;13.94;Processprogrammering och operativsystem;TDDB68;4;1;G
Datavetenskap;LIU50153;4904330584;Porter Saungikar;13.94;Omskrivningssystem;TDDB40;3;1;VG
Datavetenskap;LIU50153;4904330584;Porter Saungikar;13.94;Artificiell intelligens;TDDC17;4;1;U
Datavetenskap;LIU50153;8728832329;Miguel Gunter;20.00;Programutvecklingsmetodik teori 2;TDDC93;5;1;G
Datavetenskap;LIU50153;8728832329;Miguel Gunter;20.00;Kemi;TFKE16;4;0;G
Datavetenskap;LIU50153;8728832329;Miguel Gunter;20.00;Lingvistik, grundkurs;TDDC89;4;1;G
Datavetenskap;LIU50153;8728832329;Miguel Gunter;20.00;Avancerad programmering i C++;TDDB89;3;1;G
Datavetenskap;LIU50153;8728832329;Miguel Gunter;20.00;Mobila trådlösa nätverk: system och tillämpningar;TDDC22;7;1;G
Datavetenskap;LIU50153;8728832329;Miguel Gunter;20.00;Matematisk statistik;TAMS27;4;1;G
Datavetenskap;LIU50153;8728832329;Miguel Gunter;20.00;Sverige och Europa: Från vikingatid till EU;TGTU12;5;0;G
Datavetenskap;LIU50153;8728832329;Miguel Gunter;20.00;Språklig kommunikation;TGTU02;4;0;G
Datavetenskap;LIU50153;8728832329;Miguel Gunter;20.00;Numeriska algoritmer;TANA03;4;1;G
Datavetenskap;LIU50153;8728832329;Miguel Gunter;20.00;Flervariabelanalys 5;TATA43;5;1;G
Datavetenskap;LIU50153;8728832329;Miguel Gunter;20.00;Bioteknisk biokemi;TFKE32;4;0;G
Datavetenskap;LIU50153;8728832329;Miguel Gunter;20.00;Processprogrammering och operativsystem;TDDB68;4;1;G
Datavetenskap;LIU50153;8728832329;Miguel Gunter;20.00;Artificiell intelligens;TDDC17;4;1;G
Datavetenskap;LIU50153;8728832329;Miguel Gunter;20.00;Neurala nät i kognitiv neurovetenskap;TDDC11;5;1;VG
Datavetenskap;LIU50153;8728832329;Miguel Gunter;20.00;Abstrakt algebra;TATA10;5;1;VG
Datavetenskap;LIU50153;8516550108;Marcos McDonnell;9.65;Programutvecklingsmetodik teori 2;TDDC93;5;1;G
Datavetenskap;LIU50153;8516550108;Marcos McDonnell;9.65;Kemi;TFKE16;4;0;U
Datavetenskap;LIU50153;8516550108;Marcos McDonnell;9.65;Industriell ekonomi, grundkurs;TEIE59;3;0;U
Datavetenskap;LIU50153;8516550108;Marcos McDonnell;9.65;Lingvistik, grundkurs;TDDC89;4;1;U
Datavetenskap;LIU50153;8516550108;Marcos McDonnell;9.65;Avancerad programmering i C++;TDDB89;3;1;U
Datavetenskap;LIU50153;8516550108;Marcos McDonnell;9.65;Mobila trådlösa nätverk: system och tillämpningar;TDDC22;7;1;U
Datavetenskap;LIU50153;8516550108;Marcos McDonnell;9.65;Matematisk statistik;TAMS27;4;1;U
Datavetenskap;LIU50153;8516550108;Marcos McDonnell;9.65;Sverige och Europa: Från vikingatid till EU;TGTU12;5;0;U
Datavetenskap;LIU50153;8516550108;Marcos McDonnell;9.65;Språklig kommunikation;TGTU02;4;0;U
Datavetenskap;LIU50153;8516550108;Marcos McDonnell;9.65;Numeriska algoritmer;TANA03;4;1;U
Datavetenskap;LIU50153;8516550108;Marcos McDonnell;9.65;Flervariabelanalys 5;TATA43;5;1;U
Datavetenskap;LIU50153;8516550108;Marcos McDonnell;9.65;Processprogrammering och operativsystem;TDDB68;4;1;U
Datavetenskap;LIU50153;8516550108;Marcos McDonnell;9.65;Omskrivningssystem;TDDB40;3;1;U
Datavetenskap;LIU50153;8516550108;Marcos McDonnell;9.65;Artificiell intelligens;TDDC17;4;1;U
Datavetenskap;LIU50153;8516550108;Marcos McDonnell;9.65;Neurala nät i kognitiv neurovetenskap;TDDC11;5;1;U
Datavetenskap;LIU50153;8516550108;Marcos McDonnell;9.65;Abstrakt algebra;TATA10;5;1;U
Datavetenskap;LIU50153;3743384027;Filmore O'Dacre;12.86;Språklig kommunikation;TGTU02;4;0;U
Datavetenskap;LIU50153;3743384027;Filmore O'Dacre;12.86;Programutvecklingsmetodik teori 2;TDDC93;5;1;G
Datavetenskap;LIU50153;3743384027;Filmore O'Dacre;12.86;Processprogrammering och operativsystem;TDDB68;4;1;VG
Datavetenskap;LIU50153;3743384027;Filmore O'Dacre;12.86;Bioteknisk biokemi;TFKE32;4;0;U
Datavetenskap;LIU50153;3743384027;Filmore O'Dacre;12.86;Omskrivningssystem;TDDB40;3;1;G
Datavetenskap;LIU50153;3743384027;Filmore O'Dacre;12.86;Lingvistik, grundkurs;TDDC89;4;1;U
Datavetenskap;LIU50153;3743384027;Filmore O'Dacre;12.86;Konstruktion och analys av algoritmer 3;TDDA32;5;1;G
Datavetenskap;LIU50153;3743384027;Filmore O'Dacre;12.86;Informationssökning;TGTU60;1;0;U
Datavetenskap;LIU50153;3743384027;Filmore O'Dacre;12.86;Mobila trådlösa nätverk: system och tillämpningar;TDDC22;7;1;U
Datavetenskap;LIU50153;3743384027;Filmore O'Dacre;12.86;Neurala nät i kognitiv neurovetenskap;TDDC11;5;1;U
Datavetenskap;LIU50153;3743384027;Filmore O'Dacre;12.86;Artificiell intelligens;TDDC17;4;1;VG
Datavetenskap;LIU50153;3743384027;Filmore O'Dacre;12.86;Abstrakt algebra;TATA10;5;1;U
Datavetenskap;LIU50153;7882440598;Werner Ordog;14.39;Programutvecklingsmetodik teori 2;TDDC93;5;1;G
Datavetenskap;LIU50153;7882440598;Werner Ordog;14.39;Kemi;TFKE16;4;0;U
Datavetenskap;LIU50153;7882440598;Werner Ordog;14.39;Industriell ekonomi, grundkurs;TEIE59;3;0;G
Datavetenskap;LIU50153;7882440598;Werner Ordog;14.39;Mobila trådlösa nätverk: system och tillämpningar;TDDC22;7;1;G
Datavetenskap;LIU50153;7882440598;Werner Ordog;14.39;Informationssökning;TGTU60;1;0;G
Datavetenskap;LIU50153;7882440598;Werner Ordog;14.39;Sverige och Europa: Från vikingatid till EU;TGTU12;5;0;G
Datavetenskap;LIU50153;7882440598;Werner Ordog;14.39;Matematisk statistik;TAMS27;4;1;G
Datavetenskap;LIU50153;7882440598;Werner Ordog;14.39;Språklig kommunikation;TGTU02;4;0;U
Datavetenskap;LIU50153;7882440598;Werner Ordog;14.39;Numeriska algoritmer;TANA03;4;1;G
Datavetenskap;LIU50153;7882440598;Werner Ordog;14.39;Processprogrammering och operativsystem;TDDB68;4;1;U
Datavetenskap;LIU50153;7882440598;Werner Ordog;14.39;Bioteknisk biokemi;TFKE32;4;0;G
Datavetenskap;LIU50153;7882440598;Werner Ordog;14.39;Omskrivningssystem;TDDB40;3;1;G
Datavetenskap;LIU50153;7882440598;Werner Ordog;14.39;Artificiell intelligens;TDDC17;4;1;G
Datavetenskap;LIU50153;7882440598;Werner Ordog;14.39;Neurala nät i kognitiv neurovetenskap;TDDC11;5;1;G
Datavetenskap;LIU50153;7882440598;Werner Ordog;14.39;Abstrakt algebra;TATA10;5;1;U
Datavetenskap;LIU50153;4598894360;Noble Tracey;15.26;Programutvecklingsmetodik teori 2;TDDC93;5;1;G
Datavetenskap;LIU50153;4598894360;Noble Tracey;15.26;Kemi;TFKE16;4;0;G
Datavetenskap;LIU50153;4598894360;Noble Tracey;15.26;Industriell ekonomi, grundkurs;TEIE59;3;0;G
Datavetenskap;LIU50153;4598894360;Noble Tracey;15.26;Lingvistik, grundkurs;TDDC89;4;1;U
Datavetenskap;LIU50153;4598894360;Noble Tracey;15.26;Konstruktion och analys av algoritmer 3;TDDA32;5;1;G
Datavetenskap;LIU50153;4598894360;Noble Tracey;15.26;Avancerad programmering i C++;TDDB89;3;1;G
Datavetenskap;LIU50153;4598894360;Noble Tracey;15.26;Mobila trådlösa nätverk: system och tillämpningar;TDDC22;7;1;G
Datavetenskap;LIU50153;4598894360;Noble Tracey;15.26;Informationssökning;TGTU60;1;0;G
Datavetenskap;LIU50153;4598894360;Noble Tracey;15.26;Matematisk statistik;TAMS27;4;1;G
Datavetenskap;LIU50153;4598894360;Noble Tracey;15.26;Sverige och Europa: Från vikingatid till EU;TGTU12;5;0;VG
Datavetenskap;LIU50153;4598894360;Noble Tracey;15.26;Språklig kommunikation;TGTU02;4;0;G
Datavetenskap;LIU50153;4598894360;Noble Tracey;15.26;Numeriska algoritmer;TANA03;4;1;G
Datavetenskap;LIU50153;4598894360;Noble Tracey;15.26;Flervariabelanalys 5;TATA43;5;1;G
Datavetenskap;LIU50153;4598894360;Noble Tracey;15.26;Bioteknisk biokemi;TFKE32;4;0;G
Datavetenskap;LIU50153;4598894360;Noble Tracey;15.26;Processprogrammering och operativsystem;TDDB68;4;1;G
Datavetenskap;LIU50153;4598894360;Noble Tracey;15.26;Omskrivningssystem;TDDB40;3;1;VG
Datavetenskap;LIU50153;4598894360;Noble Tracey;15.26;Neurala nät i kognitiv neurovetenskap;TDDC11;5;1;U
Datavetenskap;LIU50153;4598894360;Noble Tracey;15.26;Artificiell intelligens;TDDC17;4;1;VG
Datavetenskap;LIU50153;5770575460;Hillard Mikulka;13.78;Programutvecklingsmetodik teori 2;TDDC93;5;1;U
Datavetenskap;LIU50153;5770575460;Hillard Mikulka;13.78;Industriell ekonomi, grundkurs;TEIE59;3;0;U
Datavetenskap;LIU50153;5770575460;Hillard Mikulka;13.78;Lingvistik, grundkurs;TDDC89;4;1;U
Datavetenskap;LIU50153;5770575460;Hillard Mikulka;13.78;Avancerad programmering i C++;TDDB89;3;1;G
Datavetenskap;LIU50153;5770575460;Hillard Mikulka;13.78;Informationssökning;TGTU60;1;0;G
Datavetenskap;LIU50153;5770575460;Hillard Mikulka;13.78;Mobila trådlösa nätverk: system och tillämpningar;TDDC22;7;1;G
Datavetenskap;LIU50153;5770575460;Hillard Mikulka;13.78;Sverige och Europa: Från vikingatid till EU;TGTU12;5;0;U
